config_id,overall_MAPE,overall_NMSE,runtime_sec,s0_MAPE,s0_NMSE,s1_MAPE,s1_NMSE,s2_MAPE,s2_NMSE,s3_MAPE,s3_NMSE,s4_MAPE,s4_NMSE,s5_MAPE,s5_NMSE
118,0.1415692682521652,0.06742687938910176,0.46214828200000002,0.96782493591308594,1,0.2357173310580522,0.007790242378895188,0,0,0,0,0,0,0,0
119,0.16230712353951976,0.071024983568303515,0.303218708,0.96782493591308594,1,0.3875849834043667,0.030606836034647558,0,0,0,0,0,0,0,0
120,0.24429740472719549,0.14225262512547496,0.35798813899999998,0.96782493591308594,1,0.94742422846019936,0.74368543408776333,0,0,0,0,0,0,0,0
121,0.24429740472719549,0.14225262512547496,0.30195899300000001,0.96782493591308594,1,0.9678497314453125,1,0,0,0,0,0,0,0,0
122,0.24429740472719549,0.14225262512547496,0.30191351900000002,0.96782493591308594,1,0.9678497314453125,1,0,0,0,0,0,0,0,0
123,0.11074659559461805,0.065193153236598148,0.30804089200000001,0.96782493591308594,1,0,0,0,0,0,0,0,0,0,0
124,0.1415692682521652,0.06742687938910176,0.301730416,0.96782493591308594,1,0.2357173310580522,0.007790242378895188,0,0,0,0,0,0,0,0
125,0.16230712353951976,0.071024983568303515,0.30400735699999998,0.96782493591308594,1,0.3875849834043667,0.030606836034647558,0,0,0,0,0,0,0,0
126,0.24429740472719549,0.14225262512547496,0.30173819400000002,0.96782493591308594,1,0.94742422846019936,0.74368543408776333,0,0,0,0,0,0,0,0
127,0.24429740472719549,0.14225262512547496,0.31553592200000002,0.96782493591308594,1,0.9678497314453125,1,0,0,0,0,0,0,0,0
128,0.00034336118052734886,1.4211970444972308e-05,0.32865017299999999,0,0,0,0,0,0,0.0025776564298912751,7.178637923836913e-07,0,0,0,0
129,0.0010184405519672126,4.2282364600305065e-05,0.30869392099999998,0,0,0,0,0,0,0.0070568641369427197,5.0167964149023017e-06,0,0,0,0
130,0.0024508220406699514,0.00011775269826788857,0.30441207599999998,0,0,0,0,0,0,0.014981183407215215,2.5095647377126372e-05,0,0,0,0
131,0.004960976184680636,0.00026168408903474424,0.302855714,0,0,0,0,0,0,0.029349513899250026,0.00011093713019455803,0,0,0,0
132,0.009401788990919686,0.00052998098223619482,0.30502051600000002,0,0,0,0,0,0,0.054808110924766583,0.00046335850843711145,0,0,0,0
133,0.01692453988410143,0.001123925335950146,0.30353602800000001,0,0,0,0,0,0,0.099015042046594087,0.0018951229601319186,0,0,0,0
134,0.029015995737223323,0.0024825841569134422,0.304680326,0,0,0,0,0,0,0.17323221681704717,0.0075662290638639019,0,0,0,0
135,0.047636224342865165,0.0063884413431176852,0.30439944699999999,0,0,0,0,0,0,0.29432736935424308,0.029782257606169423,0,0,0,0
136,0.073566577304126468,0.018363036963766746,0.32263783600000001,0,0,0,0,0,0,0.47482662605450138,0.11335792934693111,0,0,0,0
137,0.10556598860013146,0.047578306747985036,0.30486091599999998,0,0,0,0,0,0,0.69915187525486466,0.39479969945203269,0,0,0,0
138,0.12608306788064272,0.071588991105641597,0.30433195000000002,0,0,0,0,0,0,0.85308566139946485,0.97279883917648646,0,0,0,0
139,0.12608306788064272,0.071588991105641597,0.30650774400000003,0,0,0,0,0,0,0.85624313354492188,1,0,0,0,0
140,0.12608306788064272,0.071588991105641597,0.30400378300000003,0,0,0,0,0,0,0.85624313354492188,1,0,0,0,0
141,0.12608306788064272,0.071588991105641597,0.304176214,0,0,0,0,0,0,0.85624313354492188,1,0,0,0,0
142,0.12608306788064272,0.071588991105641597,0.30378629499999998,0,0,0,0,0,0,0.85624313354492188,1,0,0,0,0
143,0.12608306788064272,0.071588991105641597,0.30338715199999999,0,0,0,0,0,0,0.85624313354492188,1,0,0,0,0
144,0.12608306788064272,0.071588991105641597,0.303821175,0,0,0,0,0,0,0.85624313354492188,1,0,0,0,0
145,0.12608306788064272,0.071588991105641597,0.30361812599999999,0,0,0,0,0,0,0.85624313354492188,1,0,0,0,0
146,0.12608306788064272,0.071588991105641597,0.30410004200000001,0,0,0,0,0,0,0.85624313354492188,1,0,0,0,0
147,0.12608306788064272,0.071588991105641597,0.30342180099999999,0,0,0,0,0,0,0.85624313354492188,1,0,0,0,0
148,0.12608306788064272,0.071588991105641597,0.304957908,0,0,0,0,0,0,0.85624313354492188,1,0,0,0,0
149,0.12608306788064272,0.071588991105641597,0.303118781,0,0,0,0,0,0,0.85624313354492188,1,0,0,0,0
