config_id,overall_MAPE,overall_NMSE,runtime_sec,s0_MAPE,s0_NMSE,s1_MAPE,s1_NMSE,s2_MAPE,s2_NMSE,s3_MAPE,s3_NMSE,s4_MAPE,s4_NMSE,s5_MAPE,s5_NMSE
1654,0.039241399947691706,0.00099814907312563059,0.35814818500000001,0.1385058759546858,0.0019144586611889274,0,0,0.033822280134755418,0.00028442848457030151,0,0,0.23639565188982414,0.008090160902531382,0,0
1655,0.031745749638882728,0.0013308132755398326,0.33589567999999997,0.1385058759546858,0.0019144586611889274,0,0,0.033822280134755418,0.00028442848457030151,0.099015042046594087,0.0018951229601319186,0,0,0.0094673376615136643,1.5803755559712259e-05
1656,0.046171983497324993,0.0061105352426226783,0.33240429300000002,0.1385058759546858,0.0019144586611889274,0,0,0.033822280134755418,0.00028442848457030151,0.099015042046594087,0.0018951229601319186,0.019542957487582578,2.1920897010672351e-05,0.23835386535479269,0.017767155452867944
1657,0.039076095100828982,0.0016468468481132385,0.30428233500000001,0.1385058759546858,0.0019144586611889274,0,0,0.033822280134755418,0.00028442848457030151,0.099015042046594087,0.0018951229601319186,0.13810176934126006,0.002002016474771101,0.0020897457832725727,7.133946667246938e-07
1658,0.039076095100828982,0.0016468468481132385,0.42083812399999998,0.1385058759546858,0.0019144586611889274,0,0,0.033822280134755418,0.00028442848457030151,0.099015042046594087,0.0018951229601319186,0.13810176934126006,0.002002016474771101,0.0046713869740736399,3.5621158608966306e-06
1659,0.052870770219161901,0.0064076632533767823,0.30214939800000001,0.1385058759546858,0.0019144586611889274,0,0,0.033822280134755418,0.00028442848457030151,0.099015042046594087,0.0018951229601319186,0.13810176934126006,0.002002016474771101,0.23835386535479269,0.017767155452867944
1660,0.014821209754775392,0.00020688793958968673,0.30668178200000001,0.1385058759546858,0.0019144586611889274,0,0,0.064301081919963615,0.0011434775053933504,0,0,0,0,0.066925301383199784,0.0010976716341893321
1661,0.019084020670447115,0.0002322834534424845,0.32128335000000002,0.1385058759546858,0.0019144586611889274,0,0,0.064301081919963615,0.0011434775053933504,0.0025776564298912751,7.178637923836913e-07,0.041005308662877701,0.00010943307334319948,0,0
1662,0.039397019302185594,0.0010180444729789165,0.63147551999999996,0.1385058759546858,0.0019144586611889274,0,0,0.064301081919963615,0.0011434775053933504,0.0025776564298912751,7.178637923836913e-07,0.23639565188982414,0.008090160902531382,0,0
1663,0.014821209754775392,0.00020688793958968673,0.30616233100000001,0.1385058759546858,0.0019144586611889274,0,0,0.12074096984968002,0.0045738414776371689,0,0,0,0,0.0094673376615136643,1.5803755559712259e-05
1664,0.02892176145534258,0.00040235195401134194,0.39637715899999998,0.1385058759546858,0.0019144586611889274,0,0,0.12074096984968002,0.0045738414776371689,0,0,0.13810176934126006,0.002002016474771101,0.066925301383199784,0.0010976716341893321
1665,0.019782185939459553,0.000468572028624431,0.30446652899999999,0.1385058759546858,0.0019144586611889274,0,0,0.12074096984968002,0.0045738414776371689,0.029349513899250026,0.00011093713019455803,0,0,0.00073691275757772434,1.017642263681214e-07
1666,0.05869254003058913,0.021365399687986921,0.30841236900000002,0.1385058759546858,0.0019144586611889274,0,0,0.2422388505978256,0.018789844584028239,0,0,0,0,0.0094673376615136643,1.5803755559712259e-05
1667,0.059368315852194424,0.021346398933292116,0.37146439599999997,0.1385058759546858,0.0019144586611889274,0,0,0.2422388505978256,0.018789844584028239,0,0,0.019542957487582578,2.1920897010672351e-05,0.035299224261615122,0.00027203686528506433
1668,0.066438223369104515,0.021319809943700078,0.30442491100000002,0.1385058759546858,0.0019144586611889274,0,0,0.2422388505978256,0.018789844584028239,0,0,0.13810176934126006,0.002002016474771101,0,0
1669,0.017156720315717553,0.00030321718498208325,0.32874556199999999,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0,0,0,0,0,0,0,0
1670,0.017156720315717553,0.00030321718498208325,0.35724186600000002,0.1385058759546858,0.0019144586611889274,0.019523749686017854,2.0955279582831375e-05,0,0,0,0,0,0,0.0046713869740736399,3.5621158608966306e-06
