config_id,overall_MAPE,overall_NMSE,runtime_sec,s0_MAPE,s0_NMSE,s1_MAPE,s1_NMSE,s2_MAPE,s2_NMSE
78,0.094589574145711813,0.0083229561720089048,0.50113584300000003,0,0,0.085255560296429084,0.00092764184431067063,0.00044636213875484773,1.2123420541968759e-08
79,0.094689425780651426,0.0083399019171375138,0.50181971400000003,0,0,0.085255560296429084,0.00092764184431067063,0.0012207741926081306,8.5202409298701866e-08
80,0.094895600313321782,0.008375066219760436,0.50313030199999997,0,0,0.085255560296429084,0.00092764184431067063,0.0025842092512702274,4.2273380854628752e-07
81,0.095302329758380058,0.0084446439944770128,0.50275413199999996,0,0,0.085255560296429084,0.00092764184431067063,0.0050978705580568481,1.8776802509906289e-06
82,0.096119153044761416,0.00858485747100882,0.50023046400000004,0,0,0.085255560296429084,0.00092764184431067063,0.0096838115197718719,7.8781740840588525e-06
83,0.097742449433559947,0.0088697489001402386,0.49921818499999998,0,0,0.085255560296429084,0.00092764184431067063,0.017895703660261074,3.2209238392155289e-05
84,0.1009756997313682,0.0094521504799364251,0.51150723499999995,0,0,0.085255560296429084,0.00092764184431067063,0.033024180849732458,0.00013050766142434523
85,0.10749851333645918,0.010706320618378787,0.50866650999999996,0,0,0.085255560296429084,0.00092764184431067063,0.0597191578797443,0.00052211512387918
86,0.12023265531792815,0.013447948113268774,0.506543301,0,0,0.085255560296429084,0.00092764184431067063,0.10760173572793312,0.0020827036680258959
87,0.14607962802310526,0.020160231171257106,0.50637062600000005,0,0,0.085255560296429084,0.00092764184431067063,0.19115920506163295,0.0082403358316727199
88,0.1732910693974484,0.028325774871908536,0.50558471800000004,0,0,0.14750765219397771,0.0037075412252906923,0,0
89,0.17334189788600818,0.02834166422542134,0.50439916200000001,0,0,0.14750765219397771,0.0037075412252906923,0.00044636213875484773,1.2123420541968759e-08
90,0.17344365785094398,0.028373639079060053,0.50404507300000001,0,0,0.14750765219397771,0.0037075412252906923,0.0012207741926081306,8.5202409298701866e-08
91,0.17364129032585091,0.028435691225932144,0.50445805700000002,0,0,0.14750765219397771,0.0037075412252906923,0.0025842092512702274,4.2273380854628752e-07
92,0.17404699314349772,0.028562886705991487,0.49744925600000001,0,0,0.14750765219397771,0.0037075412252906923,0.0050978705580568481,1.8776802509906289e-06
93,0.17485782709687581,0.028818793027133627,0.49948310200000001,0,0,0.14750765219397771,0.0037075412252906923,0.0096838115197718719,7.8781740840588525e-06
94,0.17647333878392021,0.02932905098686053,0.50637975400000002,0,0,0.14750765219397771,0.0037075412252906923,0.017895703660261074,3.2209238392155289e-05
95,0.17966896102291627,0.030361646059998592,0.50697804899999999,0,0,0.14750765219397771,0.0037075412252906923,0.033024180849732458,0.00013050766142434523
96,0.18605657575172133,0.032509135057070232,0.50038595699999999,0,0,0.14750765219397771,0.0037075412252906923,0.0597191578797443,0.00052211512387918
97,0.19884417118027714,0.037075626332871627,0.49696103800000002,0,0,0.14750765219397771,0.0037075412252906923,0.10760173572793312,0.0020827036680258959
98,0.22468516969428723,0.047575580845603246,0.49941843800000002,0,0,0.14750765219397771,0.0037075412252906923,0.19115920506163295,0.0082403358316727199
99,0.29157084698972402,0.082585779320517805,0.49764298499999998,0,0,0.24961599500449363,0.014617581752285617,0,0
100,0.29162113746764823,0.082612568879456755,0.49844487399999998,0,0,0.24961599500449363,0.014617581752285617,0.00044636213875484773,1.2123420541968759e-08
101,0.29171904577311397,0.082664946784575255,0.49869024200000001,0,0,0.24961599500449363,0.014617581752285617,0.0012207741926081306,8.5202409298701866e-08
102,0.29192057086448631,0.082771569709021553,0.49600040099999998,0,0,0.24961599500449363,0.014617581752285617,0.0025842092512702274,4.2273380854628752e-07
103,0.29231948717872019,0.082984739187196219,0.49402204300000002,0,0,0.24961599500449363,0.014617581752285617,0.0050978705580568481,1.8776802509906289e-06
104,0.29312147093406415,0.083412313182209916,0.494439566,0,0,0.24961599500449363,0.014617581752285617,0.0096838115197718719,7.8781740840588525e-06
105,0.29470308032342091,0.084256832502338799,0.50058022800000002,0,0,0.24961599500449363,0.014617581752285617,0.017895703660261074,3.2209238392155289e-05
106,0.29787545200424409,0.08596751366217649,0.49602132199999999,0,0,0.24961599500449363,0.014617581752285617,0.033024180849732458,0.00013050766142434523
107,0.30422655401507248,0.089493839843839781,0.49878836300000001,0,0,0.24961599500449363,0.014617581752285617,0.0597191578797443,0.00052211512387918
108,0.31703978517961107,0.096835330675229064,0.49684239899999999,0,0,0.24961599500449363,0.014617581752285617,0.10760173572793312,0.0020827036680258959
109,0.34343938094580101,0.11325908468040612,0.49947940800000001,0,0,0.24961599500449363,0.014617581752285617,0.19115920506163295,0.0082403358316727199
110,0.0010514133595897429,1.0539587193936385e-06,0.49972617800000002,0.0014804048558605166,8.5770266084834431e-08,0,0,0,0
111,0.0011001481046010724,1.1508155777421522e-06,0.49952576799999998,0.0014804048558605166,8.5770266084834431e-08,0,0,0.00044636213875484773,1.2123420541968759e-08
112,0.0011999410175986679,1.3661207355441351e-06,0.49852600400000002,0.0014804048558605166,8.5770266084834431e-08,0,0,0.0012207741926081306,8.5202409298701866e-08
113,0.0013995564298782386,1.863304318173715e-06,0.49940289999999998,0.0014804048558605166,8.5770266084834431e-08,0,0,0.0025842092512702274,4.2273380854628752e-07
114,0.0018010762992471873,3.140957777251491e-06,0.49822525000000001,0.0014804048558605166,8.5770266084834431e-08,0,0,0.0050978705580568481,1.8776802509906289e-06
115,0.0026008221415034284,6.8334935140706619e-06,0.50011770099999997,0.0014804048558605166,8.5770266084834431e-08,0,0,0.0096838115197718719,7.8781740840588525e-06
116,0.0041929370865845129,1.8791982122698407e-05,0.49948764499999998,0.0014804048558605166,8.5770266084834431e-08,0,0,0.017895703660261074,3.2209238392155289e-05
117,0.0073299533819870602,6.0399829423499516e-05,0.50098391499999995,0.0014804048558605166,8.5770266084834431e-08,0,0,0.033024180849732458,0.00013050766142434523
118,0.013635147617249583,0.00021592446578643141,0.48524091899999999,0.0014804048558605166,8.5770266084834431e-08,0,0,0.0597191578797443,0.00052211512387918
119,0.026271178647491678,0.0008114060870885127,0.48212492899999998,0.0014804048558605166,8.5770266084834431e-08,0,0,0.10760173572793312,0.0020827036680258959
120,0.05191002219580184,0.0031720639036826653,0.480661273,0.0014804048558605166,8.5770266084834431e-08,0,0,0.19115920506163295,0.0082403358316727199
121,0.0018948487241514267,3.3101161181256274e-06,0.480292777,0.0014804048558605166,8.5770266084834431e-08,0.0015607340272276234,8.699227671129213e-08,0,0
122,0.0019457507273633098,3.4855316545154036e-06,0.48100743699999998,0.0014804048558605166,8.5770266084834431e-08,0.0015607340272276234,8.699227671129213e-08,0.00044636213875484773,1.2123420541968759e-08
123,0.0020476953142492837,3.8579006529119506e-06,0.48067096199999998,0.0014804048558605166,8.5770266084834431e-08,0.0015607340272276234,8.699227671129213e-08,0.0012207741926081306,8.5202409298701866e-08
124,0.0022508201167979946,4.6706774177856355e-06,0.48169465299999997,0.0014804048558605166,8.5770266084834431e-08,0.0015607340272276234,8.699227671129213e-08,0.0025842092512702274,4.2273380854628752e-07
125,0.0026460930087584757,6.5461894420788449e-06,0.491183386,0.0014804048558605166,8.5770266084834431e-08,0.0015607340272276234,8.699227671129213e-08,0.0050978705580568481,1.8776802509906289e-06
126,0.0034392773853178121,1.144642977863253e-05,0.48859032400000002,0.0014804048558605166,8.5770266084834431e-08,0.0015607340272276234,8.699227671129213e-08,0.0096838115197718719,7.8781740840588525e-06
127,0.0050614373437309484,2.6090374972141142e-05,0.516541633,0.0014804048558605166,8.5770266084834431e-08,0.0015607340272276234,8.699227671129213e-08,0.017895703660261074,3.2209238392155289e-05
128,0.008241446647656742,7.3355780862536271e-05,0.52641730900000006,0.0014804048558605166,8.5770266084834431e-08,0.0015607340272276234,8.699227671129213e-08,0.033024180849732458,0.00013050766142434523
129,0.014664096855584291,0.00024259197442193041,0.53265199399999996,0.0014804048558605166,8.5770266084834431e-08,0.0015607340272276234,8.699227671129213e-08,0.0597191578797443,0.00052211512387918
130,0.027286110604986091,0.00086175661969419817,0.52942399600000001,0.0014804048558605166,8.5770266084834431e-08,0.0015607340272276234,8.699227671129213e-08,0.10760173572793312,0.0020827036680258959
131,0.052732863794379567,0.003254305846931602,0.53275102699999999,0.0014804048558605166,8.5770266084834431e-08,0.0015607340272276234,8.699227671129213e-08,0.19115920506163295,0.0082403358316727199
132,0.0068887167980236415,4.3420488918178127e-05,0.52739573299999998,0.0014804048558605166,8.5770266084834431e-08,0.0082544373065514005,3.0366291143224199e-06,0,0
133,0.0069390163847919562,4.4043372148880124e-05,0.52571908199999995,0.0014804048558605166,8.5770266084834431e-08,0.0082544373065514005,3.0366291143224199e-06,0.00044636213875484773,1.2123420541968759e-08
134,0.0070414313287321976,4.5330921856655005e-05,0.53126856499999997,0.0014804048558605166,8.5770266084834431e-08,0.0082544373065514005,3.0366291143224199e-06,0.0012207741926081306,8.5202409298701866e-08
135,0.007238082141664908,4.7868478099110923e-05,0.51946739399999997,0.0014804048558605166,8.5770266084834431e-08,0.0082544373065514005,3.0366291143224199e-06,0.0025842092512702274,4.2273380854628752e-07
136,0.0076333371754615867,5.323764584064988e-05,0.501851135,0.0014804048558605166,8.5770266084834431e-08,0.0082544373065514005,3.0366291143224199e-06,0.0050978705580568481,1.8776802509906289e-06
137,0.008454580663019854,6.5539423954830427e-05,0.50077149499999996,0.0014804048558605166,8.5770266084834431e-08,0.0082544373065514005,3.0366291143224199e-06,0.0096838115197718719,7.8781740840588525e-06
138,0.010061545990484878,9.4286956110160158e-05,0.50144999599999995,0.0014804048558605166,8.5770266084834431e-08,0.0082544373065514005,3.0366291143224199e-06,0.017895703660261074,3.2209238392155289e-05
