config_id,overall_MAPE,overall_NMSE,runtime_sec,s0_MAPE,s0_NMSE,s1_MAPE,s1_NMSE,s2_MAPE,s2_NMSE,s3_MAPE,s3_NMSE
18,0.0010638390317926601,6.920756506143398e-08,0.013499756,0.0042553561271706404,2.7752801772201949e-07,0,0,0,0,0,0
19,0.002317646338954705,2.7551383140443498e-07,0.013481150000000001,0.0092705853558188202,1.1048330831578487e-06,0,0,0,0,0,0
20,0.0047769108102547605,1.0904727438578622e-06,0.013382066999999999,0.019107643241019042,4.3728852288636402e-06,0,0,0,0,0,0
21,0.0096403300055044328,4.4531770620046028e-06,0.013367118000000001,0.038561320022017731,1.7857605617048374e-05,0,0,0,0,0,0
22,0.019575685033256327,1.7594367081321189e-05,0.013374242,0.078302740133025309,7.0554856464291986e-05,0,0,0,0,0,0
23,0.039468788248241841,7.1488217764793886e-05,0.013466171000000001,0.15787515299296737,0.00028667362230027607,0,0,0,0,0,0
24,0.079217169673590951,0.00028391781445802296,0.013425591000000001,0.3168686786943638,0.0011385337451557296,0,0,0,0,0,0
25,0.15870744087265773,0.0011469024091861587,0.013393099,0.63482976349063092,0.0045991728196115213,0,0,0,0,0,0
26,0.31675726208232979,0.0045024982447777013,0.013382366999999999,1.2670290483293192,0.018055387609155347,0,0,0,0,0,0
27,0.63398820891439278,0.018088016739240379,0.013361127,2.5359528356575711,0.07253443212036155,0,0,0,0,0,0
28,1.2684557388889621,0.072572403968685376,0.013412436,5.0738229555558485,0.29102129798776011,0,0,0,0,0,0
29,2.5369889697135024,0.28202289649938406,0.013455961000000001,10.14795587885401,1.1309349685719834,0,0,0,0,0,0
30,5.0767272606365479,1.1965650625443749,0.013448636999999999,20.306909042546192,4.7983241367989828,0,0,0,0,0,0
31,10.155404521273095,5.6321801620691403,0.01341962,40.621618085092379,22.585504842495379,0,0,0,0,0,0
32,20.31275904254619,24.968674831426146,0.013524553999999999,81.251036170184761,100.12643596058051,0,0,0,0,0,0
33,40.627468085092382,105.50272205136937,0.013439477999999999,162.50987234036953,423.07457702351729,0,0,0,0,0,0
34,81.256886170184757,434.01504801617835,0.01342498,325.02754468073903,1740.4359744564799,0,0,0,0,0,0
35,0.25,0.249371453122093,0.013432786,1,1,0,0,0,0,0,0
36,2.843878319800304e-09,1.5218685792801011e-18,0.013412967,0,0,1.1375513279201216e-08,6.8890466804365844e-18,0,0,0,0
37,9.1795597036310288e-09,1.0531186457961748e-17,0.013412897,0,0,3.6718238814524115e-08,4.7671550682516093e-17,0,0,0,0
38,2.1317556380950123e-08,5.2693160876084285e-17,0.01343508,0,0,8.5270225523800494e-08,2.3852627615639069e-16,0,0,0,0
39,4.8070742254629451e-08,2.3204367664172436e-16,0.013457914,0,0,1.922829690185178e-07,1.0503927487885637e-15,0,0,0,0
40,9.8083529925706339e-08,9.6697920291792799e-16,0.013489496,0,0,3.9233411970282536e-07,4.3772274154343397e-15,0,0,0,0
41,2.0350144375574528e-07,3.9635969804746707e-15,0.01339926,0,0,8.1400577502298111e-07,1.7942025344819159e-14,0,0,0,0
42,4.0926863838288689e-07,1.6009941264809818e-14,0.013419369,0,0,1.6370745535315476e-06,7.2472245124145652e-14,0,0,0,0
43,7.615643118680622e-07,6.5321841011782713e-14,0.013389912,0,0,3.0462572474722488e-06,2.9569255723453914e-13,0,0,0,0
44,1.4149116291330557e-06,2.6247951494998683e-13,0.013365525,0,0,5.6596465165322227e-06,1.1881667417065484e-12,0,0,0,0
45,3.3230466746781302e-06,1.0557964586767746e-12,0.013328302,0,0,1.3292186698712521e-05,4.7792767311777559e-12,0,0,0,0
46,6.4096234705361009e-06,4.1780181638402876e-12,0.013353181,0,0,2.5638493882144404e-05,1.8912646304862198e-11,0,0,0,0
47,1.2795464647377005e-05,1.6629908128154527e-11,0.013377317999999999,0,0,5.118185858950802e-05,7.5278650828326678e-11,0,0,0,0
48,2.7516963621175816e-05,6.7729124959621063e-11,0.013322700999999999,0,0,0.00011006785448470327,3.065896160972491e-10,0,0,0,0
49,5.0620609612805101e-05,2.7561275507771653e-10,0.013302282,0,0,0.0002024824384512204,1.2476170158873263e-09,0,0,0,0
50,0.00010590209549135076,1.0954618323097922e-09,0.013386445,0,0,0.00042360838196540306,4.958830087016193e-09,0,0,0,0
51,0.00023490087518425015,4.3645656932782487e-09,0.013345767,0,0,0.00093960350073700059,1.9757091519064694e-08,0,0,0,0
52,0.00041341779909523894,1.7151525032911377e-08,0.013420331000000001,0,0,0.0016536711963809558,7.7639855504669115e-08,0,0,0,0
53,0.0007762537263457628,6.8523788398821344e-08,0.013426894,0,0,0.0031050149053830512,3.1018682127148085e-07,0,0,0,0
54,0.0014969611979066609,2.7190142281788614e-07,0.013456622,0,0,0.0059878447916266436,1.2308169179467562e-06,0,0,0,0
55,0.0028978241751760414,1.0862596282166068e-06,0.013526107000000001,0,0,0.011591296700704166,4.9171744444568016e-06,0,0,0,0
56,0.0054996663846701684,4.3931515286723308e-06,0.013469917,0,0,0.021998665538680674,1.9886491098706625e-05,0,0,0,0
57,0.011227094397115585,1.7738073250377991e-05,0.013475328,0,0,0.044908377588462341,8.0294984932708011e-05,0,0,0,0
58,0.021760670504260567,6.9901233426659357e-05,0.013414980999999999,0,0,0.087042682017042267,0.00031642210546467976,0,0,0,0
59,0.042867166001329671,0.00028320463664620256,0.013416964999999999,0,0,0.17146866400531868,0.0012819832070484491,0,0,0,0
60,0.085455698224115237,0.0011280341999027423,0.013400753,0,0,0.34182279289646095,0.0051062755129190783,0,0,0,0
61,0.17040831466726428,0.0045278011300332235,0.013372769,0,0,0.68163325866905711,0.020496009819249605,0,0,0,0
62,0.34046886333225257,0.018255551073835728,0.013410092,0,0,1.3618754533290103,0.082637453218358151,0,0,0,0
63,0.67899631476239597,0.072603446993628473,0.01335794,0,0,2.7159852590495839,0.32865422304487524,0,0,0,0
64,1.3556399693465178,0.28780822510847553,0.01336797,0,0,5.422559877386071,1.3028222835928376,0,0,0,0
65,2.7131855550142312,1.2377887797455203,0.013366988,0,0,10.852742220056925,5.6031018711360696,0,0,0,0
66,5.427321110028462,5.7292420133661706,0.013392617000000001,0,0,21.709284440113848,25.934575567798571,0,0,0,0
