config_id,overall_MAPE,overall_NMSE,runtime_sec,s0_MAPE,s0_NMSE,s1_MAPE,s1_NMSE,s2_MAPE,s2_NMSE,s3_MAPE,s3_NMSE,s4_MAPE,s4_NMSE,s5_MAPE,s5_NMSE,s6_MAPE,s6_NMSE,s7_MAPE,s7_NMSE,s8_MAPE,s8_NMSE,s9_MAPE,s9_NMSE,s10_MAPE,s10_NMSE,s11_MAPE,s11_NMSE,s12_MAPE,s12_NMSE,s13_MAPE,s13_NMSE,s14_MAPE,s14_NMSE,s15_MAPE,s15_NMSE,s16_MAPE,s16_NMSE,s17_MAPE,s17_NMSE,s18_MAPE,s18_NMSE,s19_MAPE,s19_NMSE,s20_MAPE,s20_NMSE,s21_MAPE,s21_NMSE,s22_MAPE,s22_NMSE,s23_MAPE,s23_NMSE,s24_MAPE,s24_NMSE,s25_MAPE,s25_NMSE,s26_MAPE,s26_NMSE,s27_MAPE,s27_NMSE,s28_MAPE,s28_NMSE,s29_MAPE,s29_NMSE,s30_MAPE,s30_NMSE,s31_MAPE,s31_NMSE
476,0.012354783471433081,4.0389104583844171e-05,0.067848338999999994,0,0,0,0,0.25203465894319621,0.00096681786387788071,0.00014444472300380047,1.3960390315975791e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024422745609163164,2.1604171808268117e-07,0.078048942343854122,0.00024796291737556007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0052297326482058024,8.9199479243424304e-07,0.017304549689730626,1.4867376128515331e-05,0.040148468176951668,6.2241250969287943e-05,0,0,0,0,0,0
477,0.017282330341142987,0.00015240590301020127,0.067831497000000004,0,0,0,0,0.25203465894319621,0.00096681786387788071,0.00014444472300380047,1.3960390315975791e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014528033991806125,1.3911994471933918e-09,0.0010804114572699195,4.7962228255335411e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2996297754531852,0.0038641110919198428,0,0,0,0,0,0,0,0,0,0,0,0,0,0
478,0.016821558357845972,6.9701886515234691e-05,0.068107139999999997,0,0,0,0,0.25203465894319621,0.00096681786387788071,0.00014444472300380047,1.3960390315975791e-09,0,0,0,0,0,0,0,0,0,0,0,0,0.0084484298725185942,3.7102733933309961e-06,0.017248254412343247,1.5094611462088011e-05,0,0,0.0018694353167060438,2.1462607285865101e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032509178878014196,1.5251703910836253e-05,0.00024819222799369879,1.3972049125918421e-09,0.13380751140029656,0.00096480502605702156,0,0,0,0,0.071916713201398641,0.00024382811852874508,0.020063048475600077,1.5151087388275535e-05
479,0.027030211148788112,0.00019078787037683952,0.067917664000000003,0,0,0,0,0.25203465894319621,0.00096681786387788071,0.00014444472300380047,1.3960390315975791e-09,0.00041938962975068952,9.6491692310478308e-09,0,0,0,0,0,0,0.29933617109871996,0.00096982717069065566,0,0,0,0,0,0,0.24593553261236897,0.0039422443860110696,0.06545983771972004,0.00024267947059162802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016367220344676689,4.9182897636991171e-08,0,0,0,0,0,0,0,0,0,0,0,0
480,0.034190085728480771,0.00011953980162983443,0.068179631000000004,0,0,0,0,0.25203465894319621,0.00096681786387788071,0.00014444472300380047,1.3960390315975791e-09,0.00041938962975068952,9.6491692310478308e-09,0.0083617168865929067,3.6281746496307936e-06,0.033499071059292326,6.2218123751299443e-05,0.034659507390504309,6.134539146583634e-05,0.14968680536455958,0.00024263306732048371,0.0022473031335041248,2.2202759846307615e-07,0,0,0.017248254412343247,1.5094611462088011e-05,0,0,0.00037619415451920423,9.7473399962901086e-09,0,0,0.080765271448453621,0.00024045035374917778,0.00046670225177690341,9.7510274622240143e-09,0.0096921222967115833,3.7708233667205038e-06,0.14096626009864302,0.00098441430617675829,0.0084259079703983206,3.7051992415790527e-06,0,0,0.191105503193302,0.00097666696597226458,0.019766617451608282,3.7969417548137522e-06,0.00017229389714236342,1.3702500561813074e-09,0,0,0.032509178878014196,1.5251703910836253e-05,0.001232634518073684,4.8142881686747462e-08,0.067516028641428666,0.00023996336237893555,0.0092467325929411152,3.7334161936722201e-06,0.031008814138746215,1.5037840702212061e-05,0.0025313302369121687,2.1696822766221506e-07,0,0
481,0.0092723429469900431,3.1388511051206899e-05,0.067879781,0,0,0,0,0.25203465894319621,0.00096681786387788071,0.00039970698808735401,9.7229784487917879e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014428025162215987,1.4247429110236206e-09,0.016672953882559523,1.5118312535770022e-05,0,0,0,0,0.00046670225177690341,9.7510274622240143e-09,0.0096921222967115833,3.7708233667205038e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017304549689730626,1.4867376128515331e-05,0,0,0,0,0,0,0,0
482,0.023429638712512385,0.00017161198154877095,0.068315092999999993,0,0,0,0,0.25203465894319621,0.00096681786387788071,0.00039970698808735401,9.7229784487917879e-09,0.0094556841300537445,3.663902908298318e-06,0.0023382651775375948,2.1650492496858131e-07,0,0,0,0,0.00095663980865648402,9.9317984630182101e-09,0.00042928794452732103,9.8925139774355488e-09,0.24871210689028458,0.0038807765874123742,0.034202948672391688,6.0641899932139298e-05,0,0,0,0,0.073295285370707841,0.00024213656386412252,0.040371724375768227,6.0438886672235932e-05,0,0,0,0,0,0,0,0,0.0020904378521691379,4.8862743973947255e-08,0.0030108328588554101,2.1955486134205335e-07,0.0021499026332410893,4.8935264556559382e-08,0.00017229389714236342,1.3702500561813074e-09,0,0,0,0,0,0,0,0,0,0,0,0,0.0012679724488686072,4.8984838337047333e-08,0.078860690808922426,0.0002436343870121505
483,0.037869644141000504,0.00025419394628743149,0.067865383000000001,0,0,0,0,0.25203465894319621,0.00096681786387788071,0.00096459381213034629,4.8000092273685857e-08,0,0,0,0,0,0,0,0,0,0,0.032858445986612049,6.139394072700671e-05,0,0,0.06897668614751451,0.00024245500065347097,0,0,0.13087729708235282,0.0009732287280312976,0.14864037379283074,0.00098346708205257981,0.00015230653886272002,1.3815685484438956e-09,0,0,0,0,0,0,0,0,0,0,0.02416127956227947,1.5133987414274445e-05,0.0096392182296934047,9.2458834068394677e-07,0.28274411769694968,0.0039133175907647491,0,0,0,0,0.0052297326482058024,8.9199479243424304e-07,0.0043001457384879522,8.9832993116919482e-07,0,0,0.25124975633291413,0.00096798308909524947,0,0,0,0
484,0.010091643084734245,3.7957743679160526e-05,0.067870201000000005,0,0,0,0,0.25203465894319621,0.00096681786387788071,0.00096459381213034629,4.8000092273685857e-08,0,0,0,0,0,0,0,0,0.00095663980865648402,9.9317984630182101e-09,0,0,0,0,0.06897668614751451,0.00024245500065347097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485,0.018734346600883248,0.00015501410068126571,0.067984773999999998,0,0,0,0,0.25203465894319621,0.00096681786387788071,0.00096459381213034629,4.8000092273685857e-08,0,0,0,0,0,0,0,0,0.0020947120704871524,4.9006666595735989e-08,0.016769764602487677,1.5314026721475225e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03451283978467342,6.1517955311904033e-05,0.27165614979005492,0.0038642615314270577,0,0,0.001403323749634476,4.9624983358844179e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020063048475600077,1.5151087388275535e-05
