config_id,overall_MAPE,overall_NMSE,runtime_sec,s0_MAPE,s0_NMSE,s1_MAPE,s1_NMSE,s2_MAPE,s2_NMSE,s3_MAPE,s3_NMSE,s4_MAPE,s4_NMSE
1750,1.9810978256544691,0.57413184906710535,0.015074809999999999,0.13176089435020727,0.00044119738942117147,0,0,0.000556248333386102,5.9346873038682533e-09,0,0,0.19041559486652979,0.0004957115273660211
1751,2.1061464365310223,0.57843300438992762,0.015075221,0.13176089435020727,0.00044119738942117147,0,0,0.000556248333386102,5.9346873038682533e-09,0.0016266125358492093,4.650168832398788e-08,0,0
1752,2.1087712160777468,0.57853902078780661,0.015215904000000001,0.13176089435020727,0.00044119738942117147,0,0,0.0014914208778900066,4.0933148225877827e-08,0,0,0,0
1753,2.0954764928232619,0.57594918769244263,0.015117403,0.13176089435020727,0.00044119738942117147,0,0,0.0014914208778900066,4.0933148225877827e-08,0.0075661031970618185,1.0157051859989345e-06,0,0
1754,2.0981212682450527,0.57599648474280896,0.015021606,0.13176089435020727,0.00044119738942117147,0,0,0.0032657381748219037,2.0747590606460765e-07,0.0075661031970618185,1.0157051859989345e-06,0.0003441145397622694,2.8488482178333717e-09
1755,2.1125714300252909,0.57868977650390807,0.015074769,0.13176089435020727,0.00044119738942117147,0,0,0.0067340929936715345,9.2459189360104763e-07,0,0,0,0
1756,2.1123302757202262,0.57868031622652261,0.015122933,0.13176089435020727,0.00044119738942117147,0,0,0.0067340929936715345,9.2459189360104763e-07,0,0,0.0003441145397622694,2.8488482178333717e-09
1757,2.1103393083861715,0.5786228203233762,0.015082695,0.13176089435020727,0.00044119738942117147,0,0,0.0067340929936715345,9.2459189360104763e-07,0,0,0.0025502881807835864,9.853245885274214e-08
1758,2.1207947690920341,0.57892178686510565,0.015056834999999999,0.13176089435020727,0.00044119738942117147,0,0,0.013875902228953515,3.8910972590460246e-06,0,0,0,0
1759,2.0479477514938838,0.57418823108251837,0.015068066,0.13176089435020727,0.00044119738942117147,0,0,0.029482704752294028,1.5922870822089668e-05,0.032922391524293174,1.7197917793120815e-05,0.048165930627978824,3.1024997526312467e-05
1760,2.1928956880146293,0.59942949005254442,0.015052196,0.13176089435020727,0.00044119738942117147,0,0,0.11753286278100532,0.00026025549033156434,0,0,0.0003441145397622694,2.8488482178333717e-09
1761,2.2861977774552886,0.60251609257368943,0.015034390999999999,0.13176089435020727,0.00044119738942117147,0,0,0.23357852699496401,0.001044597176994619,0,0,0,0
1762,2.1036860479446076,0.57835049318366905,0.015057086000000001,0.13176089435020727,0.00044119738942117147,0.00054984026108467472,5.4234620717900624e-09,0,0,0,0,0.0055576717676975368,4.4941701671434056e-07
1763,2.1069316848152249,0.57846966937640765,0.015096923,0.13176089435020727,0.00044119738942117147,0.00054984026108467472,5.4234620717900624e-09,0,0,0.00059882329038815337,6.6185493683973793e-09,0,0
